Year_Season,HospitalID,HospitalClass,StrokeRehabNumber,StrokeNumber,StrokeRehabRate,StrokeRehabRegionRate,StrokeRehabCountryRate,CityCode,TownCode
2016_1,101090517,2,106,185,0.573,0.6688,0.6686,63000,63000060
2016_2,101090517,2,112,171,0.655,0.7007,0.6761,63000,63000060
2016_3,101090517,2,133,206,0.6456,0.6887,0.6824,63000,63000060
2016_4,101090517,2,129,177,0.7288,0.6869,0.6773,63000,63000060
2017_1,101090517,2,97,162,0.5988,0.6762,0.6907,63000,63000060
2017_2,101090517,2,100,162,0.6173,0.6849,0.6963,63000,63000060
2017_3,101090517,2,93,143,0.6503,0.6825,0.6963,63000,63000060
2017_4,101090517,2,128,208,0.6154,0.6661,0.6863,63000,63000060
2018_1,101090517,2,118,164,0.7195,0.6921,0.6935,63000,63000060
2018_2,101090517,2,99,168,0.5893,0.6782,0.7035,63000,63000060
2018_3,101090517,2,117,175,0.6686,0.6773,0.6948,63000,63000060
2018_4,101090517,2,124,183,0.6776,0.6908,0.7061,63000,63000060
2019_1,101090517,2,116,165,0.703,0.712,0.7023,63000,63000060
2019_2,101090517,2,85,137,0.6204,0.7118,0.7081,63000,63000060
2019_3,101090517,2,108,164,0.6585,0.6733,0.7043,63000,63000060
2019_4,101090517,2,110,174,0.6322,0.6975,0.7101,63000,63000060
2020_1,101090517,2,102,158,0.6456,0.7079,0.7204,63000,63000060
2020_2,101090517,2,100,153,0.6536,0.7056,0.7184,63000,63000060
2020_3,101090517,2,91,142,0.6408,0.7146,0.7202,63000,63000060
2020_4,101090517,2,95,140,0.6786,0.7239,0.7261,63000,63000060
2021_1,101090517,2,72,123,0.5854,0.705,0.7219,63000,63000060
2021_2,101090517,2,45,78,0.5769,0.6791,0.7045,63000,63000060
2021_3,101090517,2,50,93,0.5376,0.7219,0.7243,63000,63000060
2021_4,101090517,2,61,109,0.5596,0.7442,0.7376,63000,63000060
2022_1,101090517,2,55,83,0.6627,0.7495,0.7516,63000,63000060
2022_2,101090517,2,49,94,0.5213,0.7412,0.7522,63000,63000060
2022_3,101090517,2,69,110,0.6273,0.7358,0.7411,63000,63000060
2022_4,101090517,2,66,92,0.7174,0.754,0.7564,63000,63000060
2023_1,101090517,2,58,99,0.5859,0.7641,0.7502,63000,63000060
2023_2,101090517,2,87,137,0.635,0.7713,0.7581,63000,63000060
2023_3,101090517,2,81,142,0.5704,0.7424,0.7534,63000,63000060
2023_4,101090517,2,84,129,0.6512,0.7639,0.7554,63000,63000060
2016_1,102020011,2,13,20,0.65,0.6811,0.6686,64000,64000020
2016_2,102020011,2,15,25,0.6,0.7004,0.6761,64000,64000020
2016_3,102020011,2,6,19,0.3158,0.6838,0.6824,64000,64000020
2016_4,102020011,2,14,24,0.5833,0.7053,0.6773,64000,64000020
2017_1,102020011,2,14,21,0.6667,0.7018,0.6907,64000,64000020
2017_2,102020011,2,15,22,0.6818,0.7144,0.6963,64000,64000020
2017_3,102020011,2,10,15,0.6667,0.7209,0.6963,64000,64000020
2017_4,102020011,2,6,13,0.4615,0.7323,0.6863,64000,64000020
2018_1,102020011,2,14,22,0.6364,0.7384,0.6935,64000,64000020
2018_2,102020011,2,8,16,0.5,0.7194,0.7035,64000,64000020
2018_3,102020011,2,9,17,0.5294,0.725,0.6948,64000,64000020
2018_4,102020011,2,10,14,0.7143,0.7428,0.7061,64000,64000020
2019_1,102020011,2,11,15,0.7333,0.7209,0.7023,64000,64000020
2019_2,102020011,2,14,20,0.7,0.7431,0.7081,64000,64000020
2019_3,102020011,2,12,18,0.6667,0.745,0.7043,64000,64000020
